ID,X,Y,AIBY,PTALBY,AI2021,PTAL21,AI2031,PTAL31
48593,527245,173952,2.34976,1a,2.38771,1a,2.38771,1a
48594,527345,173952,2.12419,1a,2.15516,1a,2.15516,1a
48595,527445,173952,12.0187,3,12.7334,3,12.7334,3
48596,527545,173952,12.5696,3,13.5185,3,13.5185,3
48597,527645,173952,12.9317,3,13.9781,3,13.9781,3
48598,527745,173952,12.7428,3,13.7407,3,13.7407,3
48599,527845,173952,12.6524,3,13.6428,3,13.6428,3
48600,527945,173952,12.166,3,13.0883,3,13.0883,3
48601,528045,173952,17.3915,4,17.3915,4,17.3915,4
48602,528145,173952,16.5437,4,16.5437,4,16.5437,4
48603,528245,173952,18.281,4,18.281,4,18.281,4
48604,528345,173952,18.316,4,18.316,4,18.316,4
48605,528445,173952,21.019,5,21.019,5,21.019,5
48606,528545,173952,24.274,5,24.274,5,24.274,5
48607,528645,173952,15.4047,4,15.4047,4,15.4047,4
48608,528745,173952,24.0809,5,24.0809,5,24.0809,5
48609,528845,173952,15.8546,4,15.8546,4,15.8546,4
48610,528945,173952,17.2086,4,17.2086,4,17.2086,4
48611,529045,173952,15.8632,4,15.8632,4,15.8632,4
48612,529145,173952,15.035,4,15.035,4,15.035,4
48613,529245,173952,12.6843,3,12.6843,3,12.6843,3
48614,529345,173952,12.1191,3,12.1191,3,12.1191,3
48615,529445,173952,16.9046,4,16.9046,4,16.9046,4
48616,529545,173952,11.8363,3,12.041,3,12.041,3
48617,529645,173952,11.8588,3,12.0456,3,12.0456,3
48618,529745,173952,10.8276,3,10.9832,3,10.9832,3
48619,529845,173952,9.89294,2,10.0257,3,10.0257,3
48620,529945,173952,11.4099,3,11.5858,3,11.5858,3
48621,530045,173952,10.2574,3,10.4,3,10.4,3
48622,530145,173952,18.4113,4,18.6259,4,18.6259,4
48623,530245,173952,18.0169,4,18.217,4,18.217,4
48624,530345,173952,19.4305,4,19.6672,4,19.6672,4
48625,530445,173952,21.8849,5,22.2032,5,22.2032,5
48626,530545,173952,23.9146,5,24.2849,5,24.2849,5
48627,530645,173952,15.9841,4,16.1992,4,16.1992,4
48628,530745,173952,16.4185,4,16.6045,4,16.6045,4
