"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"December 2017","Darlington","E06000005","Persons claiming JSA","Total","Total",1475,"Normal Value"
"December 2017","County Durham","E06000047","Persons claiming JSA","Total","Total",4795,"Normal Value"
"December 2017","Hartlepool","E06000001","Persons claiming JSA","Total","Total",810,"Normal Value"
"December 2017","Middlesbrough","E06000002","Persons claiming JSA","Total","Total",2795,"Normal Value"
"December 2017","Northumberland","E06000057","Persons claiming JSA","Total","Total",3190,"Normal Value"
"December 2017","Redcar and Cleveland","E06000003","Persons claiming JSA","Total","Total",1830,"Normal Value"
"December 2017","Stockton-on-Tees","E06000004","Persons claiming JSA","Total","Total",2475,"Normal Value"
"December 2017","Gateshead","E08000037","Persons claiming JSA","Total","Total",1855,"Normal Value"
"December 2017","Newcastle upon Tyne","E08000021","Persons claiming JSA","Total","Total",1555,"Normal Value"
"December 2017","North Tyneside","E08000022","Persons claiming JSA","Total","Total",2135,"Normal Value"
"December 2017","South Tyneside","E08000023","Persons claiming JSA","Total","Total",2910,"Normal Value"
"December 2017","Sunderland","E08000024","Persons claiming JSA","Total","Total",3430,"Normal Value"
"December 2017","Blackburn with Darwen","E06000008","Persons claiming JSA","Total","Total",1440,"Normal Value"
"December 2017","Blackpool","E06000009","Persons claiming JSA","Total","Total",1660,"Normal Value"
"December 2017","Cheshire East","E06000049","Persons claiming JSA","Total","Total",1040,"Normal Value"
"December 2017","Cheshire West and Chester","E06000050","Persons claiming JSA","Total","Total",1025,"Normal Value"
"December 2017","Halton","E06000006","Persons claiming JSA","Total","Total",275,"Normal Value"
"December 2017","Warrington","E06000007","Persons claiming JSA","Total","Total",350,"Normal Value"
"December 2017","Cumbria","E10000006","Persons claiming JSA","Total","Total",1755,"Normal Value"
"December 2017","Bolton","E08000001","Persons claiming JSA","Total","Total",2680,"Normal Value"
"December 2017","Bury","E08000002","Persons claiming JSA","Total","Total",1375,"Normal Value"
"December 2017","Manchester","E08000003","Persons claiming JSA","Total","Total",4275,"Normal Value"
"December 2017","Oldham","E08000004","Persons claiming JSA","Total","Total",925,"Normal Value"
"December 2017","Rochdale","E08000005","Persons claiming JSA","Total","Total",1825,"Normal Value"
"December 2017","Salford","E08000006","Persons claiming JSA","Total","Total",2300,"Normal Value"
"December 2017","Stockport","E08000007","Persons claiming JSA","Total","Total",1465,"Normal Value"
"December 2017","Tameside","E08000008","Persons claiming JSA","Total","Total",1500,"Normal Value"
"December 2017","Trafford","E08000009","Persons claiming JSA","Total","Total",665,"Normal Value"
"December 2017","Wigan","E08000010","Persons claiming JSA","Total","Total",2235,"Normal Value"
"December 2017","Lancashire","E10000017","Persons claiming JSA","Total","Total",5760,"Normal Value"
"December 2017","Knowsley","E08000011","Persons claiming JSA","Total","Total",1240,"Normal Value"
"December 2017","Liverpool","E08000012","Persons claiming JSA","Total","Total",5105,"Normal Value"
"December 2017","Sefton","E08000014","Persons claiming JSA","Total","Total",1460,"Normal Value"
"December 2017","St. Helens","E08000013","Persons claiming JSA","Total","Total",1070,"Normal Value"
"December 2017","Wirral","E08000015","Persons claiming JSA","Total","Total",1440,"Normal Value"
"December 2017","East Riding of Yorkshire","E06000011","Persons claiming JSA","Total","Total",1760,"Normal Value"
"December 2017","Kingston upon Hull, City of","E06000010","Persons claiming JSA","Total","Total",4430,"Normal Value"
"December 2017","North East Lincolnshire","E06000012","Persons claiming JSA","Total","Total",1945,"Normal Value"
"December 2017","North Lincolnshire","E06000013","Persons claiming JSA","Total","Total",1015,"Normal Value"
"December 2017","York","E06000014","Persons claiming JSA","Total","Total",295,"Normal Value"
"December 2017","North Yorkshire","E10000023","Persons claiming JSA","Total","Total",1510,"Normal Value"
"December 2017","Barnsley","E08000016","Persons claiming JSA","Total","Total",1600,"Normal Value"
"December 2017","Doncaster","E08000017","Persons claiming JSA","Total","Total",2240,"Normal Value"
"December 2017","Rotherham","E08000018","Persons claiming JSA","Total","Total",2740,"Normal Value"
"December 2017","Sheffield","E08000019","Persons claiming JSA","Total","Total",6460,"Normal Value"
"December 2017","Bradford","E08000032","Persons claiming JSA","Total","Total",5845,"Normal Value"
"December 2017","Calderdale","E08000033","Persons claiming JSA","Total","Total",780,"Normal Value"
"December 2017","Kirklees","E08000034","Persons claiming JSA","Total","Total",3330,"Normal Value"
"December 2017","Leeds","E08000035","Persons claiming JSA","Total","Total",7485,"Normal Value"
"December 2017","Wakefield","E08000036","Persons claiming JSA","Total","Total",2570,"Normal Value"
"December 2017","Derby","E06000015","Persons claiming JSA","Total","Total",1700,"Normal Value"
"December 2017","Leicester","E06000016","Persons claiming JSA","Total","Total",2535,"Normal Value"
"December 2017","Nottingham","E06000018","Persons claiming JSA","Total","Total",5080,"Normal Value"
"December 2017","Rutland","E06000017","Persons claiming JSA","Total","Total",50,"Normal Value"
"December 2017","Derbyshire","E10000007","Persons claiming JSA","Total","Total",3385,"Normal Value"
"December 2017","Leicestershire","E10000018","Persons claiming JSA","Total","Total",1630,"Normal Value"
"December 2017","Lincolnshire","E10000019","Persons claiming JSA","Total","Total",4550,"Normal Value"
"December 2017","Northamptonshire","E10000021","Persons claiming JSA","Total","Total",3800,"Normal Value"
"December 2017","Nottinghamshire","E10000024","Persons claiming JSA","Total","Total",5045,"Normal Value"
"December 2017","Herefordshire, County of","E06000019","Persons claiming JSA","Total","Total",670,"Normal Value"
"December 2017","Shropshire","E06000051","Persons claiming JSA","Total","Total",1185,"Normal Value"
"December 2017","Stoke-on-Trent","E06000021","Persons claiming JSA","Total","Total",2555,"Normal Value"
"December 2017","Telford and Wrekin","E06000020","Persons claiming JSA","Total","Total",1015,"Normal Value"
"December 2017","Staffordshire","E10000028","Persons claiming JSA","Total","Total",3215,"Normal Value"
"December 2017","Warwickshire","E10000031","Persons claiming JSA","Total","Total",1550,"Normal Value"
"December 2017","Birmingham","E08000025","Persons claiming JSA","Total","Total",21495,"Normal Value"
"December 2017","Coventry","E08000026","Persons claiming JSA","Total","Total",2760,"Normal Value"
"December 2017","Dudley","E08000027","Persons claiming JSA","Total","Total",2910,"Normal Value"
"December 2017","Sandwell","E08000028","Persons claiming JSA","Total","Total",4540,"Normal Value"
"December 2017","Solihull","E08000029","Persons claiming JSA","Total","Total",935,"Normal Value"
"December 2017","Walsall","E08000030","Persons claiming JSA","Total","Total",3085,"Normal Value"
"December 2017","Wolverhampton","E08000031","Persons claiming JSA","Total","Total",4545,"Normal Value"
"December 2017","Worcestershire","E10000034","Persons claiming JSA","Total","Total",2840,"Normal Value"
"December 2017","Bedford","E06000055","Persons claiming JSA","Total","Total",865,"Normal Value"
"December 2017","Central Bedfordshire","E06000056","Persons claiming JSA","Total","Total",930,"Normal Value"
"December 2017","Luton","E06000032","Persons claiming JSA","Total","Total",1820,"Normal Value"
