"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"December 2017","City of London 001A","E01000001","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","City of London 001B","E01000002","Total","All categories: Age 16+","Claimant count","Value",0,"Normal Value"
"December 2017","City of London 001C","E01000003","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","City of London 001E","E01000005","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 016A","E01000006","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 015A","E01000007","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barking and Dagenham 015B","E01000008","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 016B","E01000009","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 015C","E01000010","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barking and Dagenham 016C","E01000011","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barking and Dagenham 015D","E01000012","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 013A","E01000013","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 013B","E01000014","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 009A","E01000015","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 009B","E01000016","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 009C","E01000017","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 009D","E01000018","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 023A","E01000019","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 023B","E01000020","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 008A","E01000021","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 008B","E01000022","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 008C","E01000023","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 008D","E01000024","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 008E","E01000025","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 001A","E01000027","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 001B","E01000028","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 001C","E01000029","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 001D","E01000030","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 002A","E01000031","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 002B","E01000032","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 006A","E01000033","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 003A","E01000034","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 010A","E01000035","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
