"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Darlington","E06000005","Jobs density","Value",0.88,"Normal Value"
"2015","County Durham","E06000047","Jobs density","Value",0.61,"Normal Value"
"2015","Hartlepool","E06000001","Jobs density","Value",0.59,"Normal Value"
"2015","Middlesbrough","E06000002","Jobs density","Value",0.76,"Normal Value"
"2015","Northumberland","E06000057","Jobs density","Value",0.65,"Normal Value"
"2015","Redcar and Cleveland","E06000003","Jobs density","Value",0.58,"Normal Value"
"2015","Stockton-on-Tees","E06000004","Jobs density","Value",0.76,"Normal Value"
"2015","Gateshead","E08000037","Jobs density","Value",0.83,"Normal Value"
"2015","Newcastle upon Tyne","E08000021","Jobs density","Value",0.99,"Normal Value"
"2015","North Tyneside","E08000022","Jobs density","Value",0.70,"Normal Value"
"2015","South Tyneside","E08000023","Jobs density","Value",0.55,"Normal Value"
"2015","Sunderland","E08000024","Jobs density","Value",0.73,"Normal Value"
"2015","Blackburn with Darwen","E06000008","Jobs density","Value",0.79,"Normal Value"
"2015","Blackpool","E06000009","Jobs density","Value",0.79,"Normal Value"
"2015","Cheshire East","E06000049","Jobs density","Value",0.96,"Normal Value"
"2015","Cheshire West and Chester","E06000050","Jobs density","Value",0.90,"Normal Value"
"2015","Halton","E06000006","Jobs density","Value",0.77,"Normal Value"
"2015","Warrington","E06000007","Jobs density","Value",1.04,"Normal Value"
"2015","Cumbria","E10000006","Jobs density","Value",0.91,"Normal Value"
"2015","Bolton","E08000001","Jobs density","Value",0.69,"Normal Value"
"2015","Bury","E08000002","Jobs density","Value",0.66,"Normal Value"
"2015","Manchester","E08000003","Jobs density","Value",1.07,"Normal Value"
"2015","Oldham","E08000004","Jobs density","Value",0.64,"Normal Value"
"2015","Rochdale","E08000005","Jobs density","Value",0.61,"Normal Value"
"2015","Salford","E08000006","Jobs density","Value",0.80,"Normal Value"
"2015","Stockport","E08000007","Jobs density","Value",0.79,"Normal Value"
"2015","Tameside","E08000008","Jobs density","Value",0.57,"Normal Value"
"2015","Trafford","E08000009","Jobs density","Value",1.11,"Normal Value"
"2015","Wigan","E08000010","Jobs density","Value",0.58,"Normal Value"
"2015","Lancashire","E10000017","Jobs density","Value",0.78,"Normal Value"
"2015","Knowsley","E08000011","Jobs density","Value",0.74,"Normal Value"
"2015","Liverpool","E08000012","Jobs density","Value",0.81,"Normal Value"
"2015","Sefton","E08000014","Jobs density","Value",0.61,"Normal Value"
"2015","St. Helens","E08000013","Jobs density","Value",0.61,"Normal Value"
"2015","Wirral","E08000015","Jobs density","Value",0.61,"Normal Value"
"2015","East Riding of Yorkshire","E06000011","Jobs density","Value",0.70,"Normal Value"
"2015","Kingston upon Hull, City of","E06000010","Jobs density","Value",0.77,"Normal Value"
"2015","North East Lincolnshire","E06000012","Jobs density","Value",0.78,"Normal Value"
"2015","North Lincolnshire","E06000013","Jobs density","Value",0.75,"Normal Value"
"2015","York","E06000014","Jobs density","Value",0.85,"Normal Value"
"2015","North Yorkshire","E10000023","Jobs density","Value",0.96,"Normal Value"
"2015","Barnsley","E08000016","Jobs density","Value",0.59,"Normal Value"
"2015","Doncaster","E08000017","Jobs density","Value",0.73,"Normal Value"
"2015","Rotherham","E08000018","Jobs density","Value",0.70,"Normal Value"
"2015","Sheffield","E08000019","Jobs density","Value",0.76,"Normal Value"
"2015","Bradford","E08000032","Jobs density","Value",0.70,"Normal Value"
"2015","Calderdale","E08000033","Jobs density","Value",0.86,"Normal Value"
"2015","Kirklees","E08000034","Jobs density","Value",0.68,"Normal Value"
"2015","Leeds","E08000035","Jobs density","Value",0.96,"Normal Value"
"2015","Wakefield","E08000036","Jobs density","Value",0.78,"Normal Value"
"2015","Derby","E06000015","Jobs density","Value",0.87,"Normal Value"
"2015","Leicester","E06000016","Jobs density","Value",0.85,"Normal Value"
"2015","Nottingham","E06000018","Jobs density","Value",1.09,"Normal Value"
"2015","Rutland","E06000017","Jobs density","Value",0.85,"Normal Value"
"2015","Derbyshire","E10000007","Jobs density","Value",0.68,"Normal Value"
"2015","Leicestershire","E10000018","Jobs density","Value",0.77,"Normal Value"
"2015","Lincolnshire","E10000019","Jobs density","Value",0.75,"Normal Value"
"2015","Northamptonshire","E10000021","Jobs density","Value",0.83,"Normal Value"
"2015","Nottinghamshire","E10000024","Jobs density","Value",0.67,"Normal Value"
"2015","Herefordshire, County of","E06000019","Jobs density","Value",0.84,"Normal Value"
"2015","Shropshire","E06000051","Jobs density","Value",0.79,"Normal Value"
"2015","Stoke-on-Trent","E06000021","Jobs density","Value",0.79,"Normal Value"
"2015","Telford and Wrekin","E06000020","Jobs density","Value",0.86,"Normal Value"
"2015","Staffordshire","E10000028","Jobs density","Value",0.74,"Normal Value"
"2015","Warwickshire","E10000031","Jobs density","Value",0.94,"Normal Value"
"2015","Birmingham","E08000025","Jobs density","Value",0.79,"Normal Value"
"2015","Coventry","E08000026","Jobs density","Value",0.76,"Normal Value"
"2015","Dudley","E08000027","Jobs density","Value",0.66,"Normal Value"
"2015","Sandwell","E08000028","Jobs density","Value",0.72,"Normal Value"
"2015","Solihull","E08000029","Jobs density","Value",0.97,"Normal Value"
"2015","Walsall","E08000030","Jobs density","Value",0.71,"Normal Value"
"2015","Wolverhampton","E08000031","Jobs density","Value",0.72,"Normal Value"
"2015","Worcestershire","E10000034","Jobs density","Value",0.78,"Normal Value"
"2015","Bedford","E06000055","Jobs density","Value",0.80,"Normal Value"
"2015","Central Bedfordshire","E06000056","Jobs density","Value",0.65,"Normal Value"
"2015","Luton","E06000032","Jobs density","Value",0.71,"Normal Value"
"2015","Peterborough","E06000031","Jobs density","Value",0.99,"Normal Value"
"2015","Southend-on-Sea","E06000033","Jobs density","Value",0.69,"Normal Value"
"2015","Thurrock","E06000034","Jobs density","Value",0.68,"Normal Value"
"2015","Cambridgeshire","E10000003","Jobs density","Value",0.88,"Normal Value"
"2015","Essex","E10000012","Jobs density","Value",0.75,"Normal Value"
"2015","Hertfordshire","E10000015","Jobs density","Value",0.91,"Normal Value"
"2015","Norfolk","E10000020","Jobs density","Value",0.80,"Normal Value"
"2015","Suffolk","E10000029","Jobs density","Value",0.83,"Normal Value"
"2015","Camden","E09000007","Jobs density","Value",2.24,"Normal Value"
"2015","City of London","E09000001","Jobs density","Value",84.48,"Normal Value"
"2015","Hackney","E09000012","Jobs density","Value",0.70,"Normal Value"
"2015","Hammersmith and Fulham","E09000013","Jobs density","Value",1.19,"Normal Value"
"2015","Haringey","E09000014","Jobs density","Value",0.48,"Normal Value"
"2015","Islington","E09000019","Jobs density","Value",1.46,"Normal Value"
"2015","Kensington and Chelsea","E09000020","Jobs density","Value",1.37,"Normal Value"
"2015","Lambeth","E09000022","Jobs density","Value",0.76,"Normal Value"
"2015","Lewisham","E09000023","Jobs density","Value",0.40,"Normal Value"
"2015","Newham","E09000025","Jobs density","Value",0.49,"Normal Value"
"2015","Southwark","E09000028","Jobs density","Value",1.27,"Normal Value"
