"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2015","Darlington","E06000005","Total jobs","Value",57000,"Normal Value"
"2015","County Durham","E06000047","Total jobs","Value",199000,"Normal Value"
"2015","Hartlepool","E06000001","Total jobs","Value",34000,"Normal Value"
"2015","Middlesbrough","E06000002","Total jobs","Value",67000,"Normal Value"
"2015","Northumberland","E06000057","Total jobs","Value",125000,"Normal Value"
"2015","Redcar and Cleveland","E06000003","Total jobs","Value",47000,"Normal Value"
"2015","Stockton-on-Tees","E06000004","Total jobs","Value",93000,"Normal Value"
"2015","Gateshead","E08000037","Total jobs","Value",106000,"Normal Value"
"2015","Newcastle upon Tyne","E08000021","Total jobs","Value",199000,"Normal Value"
"2015","North Tyneside","E08000022","Total jobs","Value",89000,"Normal Value"
"2015","South Tyneside","E08000023","Total jobs","Value",52000,"Normal Value"
"2015","Sunderland","E08000024","Total jobs","Value",129000,"Normal Value"
"2015","Blackburn with Darwen","E06000008","Total jobs","Value",72000,"Normal Value"
"2015","Blackpool","E06000009","Total jobs","Value",67000,"Normal Value"
"2015","Cheshire East","E06000049","Total jobs","Value",217000,"Normal Value"
"2015","Cheshire West and Chester","E06000050","Total jobs","Value",185000,"Normal Value"
"2015","Halton","E06000006","Total jobs","Value",62000,"Normal Value"
"2015","Warrington","E06000007","Total jobs","Value",136000,"Normal Value"
"2015","Cumbria","E10000006","Total jobs","Value",273000,"Normal Value"
"2015","Bolton","E08000001","Total jobs","Value",121000,"Normal Value"
"2015","Bury","E08000002","Total jobs","Value",76000,"Normal Value"
"2015","Manchester","E08000003","Total jobs","Value",400000,"Normal Value"
"2015","Oldham","E08000004","Total jobs","Value",91000,"Normal Value"
"2015","Rochdale","E08000005","Total jobs","Value",81000,"Normal Value"
"2015","Salford","E08000006","Total jobs","Value",129000,"Normal Value"
"2015","Stockport","E08000007","Total jobs","Value",140000,"Normal Value"
"2015","Tameside","E08000008","Total jobs","Value",79000,"Normal Value"
"2015","Trafford","E08000009","Total jobs","Value",161000,"Normal Value"
"2015","Wigan","E08000010","Total jobs","Value",118000,"Normal Value"
"2015","Lancashire","E10000017","Total jobs","Value",572000,"Normal Value"
"2015","Knowsley","E08000011","Total jobs","Value",69000,"Normal Value"
"2015","Liverpool","E08000012","Total jobs","Value",265000,"Normal Value"
"2015","Sefton","E08000014","Total jobs","Value",101000,"Normal Value"
"2015","St. Helens","E08000013","Total jobs","Value",67000,"Normal Value"
"2015","Wirral","E08000015","Total jobs","Value",119000,"Normal Value"
"2015","East Riding of Yorkshire","E06000011","Total jobs","Value",139000,"Normal Value"
"2015","Kingston upon Hull, City of","E06000010","Total jobs","Value",131000,"Normal Value"
"2015","North East Lincolnshire","E06000012","Total jobs","Value",77000,"Normal Value"
"2015","North Lincolnshire","E06000013","Total jobs","Value",78000,"Normal Value"
"2015","York","E06000014","Total jobs","Value",117000,"Normal Value"
"2015","North Yorkshire","E10000023","Total jobs","Value",346000,"Normal Value"
"2015","Barnsley","E08000016","Total jobs","Value",89000,"Normal Value"
"2015","Doncaster","E08000017","Total jobs","Value",138000,"Normal Value"
"2015","Rotherham","E08000018","Total jobs","Value",113000,"Normal Value"
"2015","Sheffield","E08000019","Total jobs","Value",285000,"Normal Value"
"2015","Bradford","E08000032","Total jobs","Value",230000,"Normal Value"
"2015","Calderdale","E08000033","Total jobs","Value",113000,"Normal Value"
"2015","Kirklees","E08000034","Total jobs","Value",186000,"Normal Value"
"2015","Leeds","E08000035","Total jobs","Value",487000,"Normal Value"
"2015","Wakefield","E08000036","Total jobs","Value",164000,"Normal Value"
"2015","Derby","E06000015","Total jobs","Value",140000,"Normal Value"
"2015","Leicester","E06000016","Total jobs","Value",196000,"Normal Value"
"2015","Nottingham","E06000018","Total jobs","Value",243000,"Normal Value"
"2015","Rutland","E06000017","Total jobs","Value",19000,"Normal Value"
"2015","Derbyshire","E10000007","Total jobs","Value",332000,"Normal Value"
"2015","Leicestershire","E10000018","Total jobs","Value",327000,"Normal Value"
"2015","Lincolnshire","E10000019","Total jobs","Value",335000,"Normal Value"
"2015","Northamptonshire","E10000021","Total jobs","Value",378000,"Normal Value"
"2015","Nottinghamshire","E10000024","Total jobs","Value",335000,"Normal Value"
"2015","Herefordshire, County of","E06000019","Total jobs","Value",95000,"Normal Value"
"2015","Shropshire","E06000051","Total jobs","Value",148000,"Normal Value"
"2015","Stoke-on-Trent","E06000021","Total jobs","Value",125000,"Normal Value"
"2015","Telford and Wrekin","E06000020","Total jobs","Value",93000,"Normal Value"
"2015","Staffordshire","E10000028","Total jobs","Value",396000,"Normal Value"
"2015","Warwickshire","E10000031","Total jobs","Value",322000,"Normal Value"
"2015","Birmingham","E08000025","Total jobs","Value",563000,"Normal Value"
"2015","Coventry","E08000026","Total jobs","Value",174000,"Normal Value"
"2015","Dudley","E08000027","Total jobs","Value",127000,"Normal Value"
"2015","Sandwell","E08000028","Total jobs","Value",144000,"Normal Value"
"2015","Solihull","E08000029","Total jobs","Value",122000,"Normal Value"
"2015","Walsall","E08000030","Total jobs","Value",119000,"Normal Value"
"2015","Wolverhampton","E08000031","Total jobs","Value",114000,"Normal Value"
"2015","Worcestershire","E10000034","Total jobs","Value",276000,"Normal Value"
"2015","Bedford","E06000055","Total jobs","Value",83000,"Normal Value"
"2015","Central Bedfordshire","E06000056","Total jobs","Value",112000,"Normal Value"
"2015","Luton","E06000032","Total jobs","Value",98000,"Normal Value"
"2015","Peterborough","E06000031","Total jobs","Value",122000,"Normal Value"
"2015","Southend-on-Sea","E06000033","Total jobs","Value",76000,"Normal Value"
"2015","Thurrock","E06000034","Total jobs","Value",72000,"Normal Value"
"2015","Cambridgeshire","E10000003","Total jobs","Value",361000,"Normal Value"
"2015","Essex","E10000012","Total jobs","Value",667000,"Normal Value"
"2015","Hertfordshire","E10000015","Total jobs","Value",670000,"Normal Value"
"2015","Norfolk","E10000020","Total jobs","Value",424000,"Normal Value"
"2015","Suffolk","E10000029","Total jobs","Value",367000,"Normal Value"
"2015","Camden","E09000007","Total jobs","Value",383000,"Normal Value"
"2015","City of London","E09000001","Total jobs","Value",541000,"Normal Value"
"2015","Hackney","E09000012","Total jobs","Value",136000,"Normal Value"
"2015","Hammersmith and Fulham","E09000013","Total jobs","Value",154000,"Normal Value"
