"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"May 2017","Darlington","E06000005","Value","total","Total",4210,"Normal Value"
"May 2017","County Durham","E06000047","Value","total","Total",26210,"Normal Value"
"May 2017","Hartlepool","E06000001","Value","total","Total",4720,"Normal Value"
"May 2017","Middlesbrough","E06000002","Value","total","Total",8580,"Normal Value"
"May 2017","Northumberland","E06000057","Value","total","Total",11830,"Normal Value"
"May 2017","Redcar and Cleveland","E06000003","Value","total","Total",6830,"Normal Value"
"May 2017","Stockton-on-Tees","E06000004","Value","total","Total",8160,"Normal Value"
"May 2017","Gateshead","E08000037","Value","total","Total",9800,"Normal Value"
"May 2017","Newcastle upon Tyne","E08000021","Value","total","Total",12760,"Normal Value"
"May 2017","North Tyneside","E08000022","Value","total","Total",8520,"Normal Value"
"May 2017","South Tyneside","E08000023","Value","total","Total",7970,"Normal Value"
"May 2017","Sunderland","E08000024","Value","total","Total",15650,"Normal Value"
"May 2017","Blackburn with Darwen","E06000008","Value","total","Total",8500,"Normal Value"
"May 2017","Blackpool","E06000009","Value","total","Total",10350,"Normal Value"
"May 2017","Cheshire East","E06000049","Value","total","Total",10290,"Normal Value"
"May 2017","Cheshire West and Chester","E06000050","Value","total","Total",11620,"Normal Value"
"May 2017","Halton","E06000006","Value","total","Total",6140,"Normal Value"
"May 2017","Warrington","E06000007","Value","total","Total",6890,"Normal Value"
"May 2017","Cumbria","E10000006","Value","total","Total",18390,"Normal Value"
"May 2017","Bolton","E08000001","Value","total","Total",13470,"Normal Value"
"May 2017","Bury","E08000002","Value","total","Total",8020,"Normal Value"
"May 2017","Manchester","E08000003","Value","total","Total",30010,"Normal Value"
"May 2017","Oldham","E08000004","Value","total","Total",10800,"Normal Value"
"May 2017","Rochdale","E08000005","Value","total","Total",11940,"Normal Value"
"May 2017","Salford","E08000006","Value","total","Total",13670,"Normal Value"
"May 2017","Stockport","E08000007","Value","total","Total",10570,"Normal Value"
"May 2017","Tameside","E08000008","Value","total","Total",11540,"Normal Value"
"May 2017","Trafford","E08000009","Value","total","Total",7430,"Normal Value"
"May 2017","Wigan","E08000010","Value","total","Total",14510,"Normal Value"
"May 2017","Lancashire","E10000017","Value","total","Total",47430,"Normal Value"
"May 2017","Knowsley","E08000011","Value","total","Total",10760,"Normal Value"
"May 2017","Liverpool","E08000012","Value","total","Total",33670,"Normal Value"
"May 2017","Sefton","E08000014","Value","total","Total",13900,"Normal Value"
"May 2017","St. Helens","E08000013","Value","total","Total",10130,"Normal Value"
"May 2017","Wirral","E08000015","Value","total","Total",18430,"Normal Value"
"May 2017","East Riding of Yorkshire","E06000011","Value","total","Total",9810,"Normal Value"
"May 2017","Kingston upon Hull, City of","E06000010","Value","total","Total",15620,"Normal Value"
"May 2017","North East Lincolnshire","E06000012","Value","total","Total",7150,"Normal Value"
"May 2017","North Lincolnshire","E06000013","Value","total","Total",6050,"Normal Value"
"May 2017","York","E06000014","Value","total","Total",5320,"Normal Value"
"May 2017","North Yorkshire","E10000023","Value","total","Total",14910,"Normal Value"
"May 2017","Barnsley","E08000016","Value","total","Total",12810,"Normal Value"
"May 2017","Doncaster","E08000017","Value","total","Total",14420,"Normal Value"
"May 2017","Rotherham","E08000018","Value","total","Total",12710,"Normal Value"
"May 2017","Sheffield","E08000019","Value","total","Total",23980,"Normal Value"
"May 2017","Bradford","E08000032","Value","total","Total",23290,"Normal Value"
"May 2017","Calderdale","E08000033","Value","total","Total",8960,"Normal Value"
"May 2017","Kirklees","E08000034","Value","total","Total",17360,"Normal Value"
"May 2017","Leeds","E08000035","Value","total","Total",31180,"Normal Value"
"May 2017","Wakefield","E08000036","Value","total","Total",16570,"Normal Value"
"May 2017","Derby","E06000015","Value","total","Total",11640,"Normal Value"
"May 2017","Leicester","E06000016","Value","total","Total",16770,"Normal Value"
"May 2017","Nottingham","E06000018","Value","total","Total",17330,"Normal Value"
"May 2017","Rutland","E06000017","Value","total","Total",670,"Normal Value"
"May 2017","Derbyshire","E10000007","Value","total","Total",30210,"Normal Value"
"May 2017","Leicestershire","E10000018","Value","total","Total",16690,"Normal Value"
"May 2017","Lincolnshire","E10000019","Value","total","Total",25920,"Normal Value"
"May 2017","Northamptonshire","E10000021","Value","total","Total",21230,"Normal Value"
"May 2017","Nottinghamshire","E10000024","Value","total","Total",30890,"Normal Value"
"May 2017","Herefordshire, County of","E06000019","Value","total","Total",5480,"Normal Value"
"May 2017","Shropshire","E06000051","Value","total","Total",8610,"Normal Value"
"May 2017","Stoke-on-Trent","E06000021","Value","total","Total",15170,"Normal Value"
"May 2017","Telford and Wrekin","E06000020","Value","total","Total",7800,"Normal Value"
"May 2017","Staffordshire","E10000028","Value","total","Total",27490,"Normal Value"
"May 2017","Warwickshire","E10000031","Value","total","Total",14680,"Normal Value"
"May 2017","Birmingham","E08000025","Value","total","Total",51450,"Normal Value"
"May 2017","Coventry","E08000026","Value","total","Total",14030,"Normal Value"
"May 2017","Dudley","E08000027","Value","total","Total",11540,"Normal Value"
"May 2017","Sandwell","E08000028","Value","total","Total",15310,"Normal Value"
"May 2017","Solihull","E08000029","Value","total","Total",6070,"Normal Value"
"May 2017","Walsall","E08000030","Value","total","Total",12300,"Normal Value"
"May 2017","Wolverhampton","E08000031","Value","total","Total",12030,"Normal Value"
"May 2017","Worcestershire","E10000034","Value","total","Total",17650,"Normal Value"
"May 2017","Bedford","E06000055","Value","total","Total",4850,"Normal Value"
"May 2017","Central Bedfordshire","E06000056","Value","total","Total",5910,"Normal Value"
"May 2017","Luton","E06000032","Value","total","Total",7310,"Normal Value"
"May 2017","Peterborough","E06000031","Value","total","Total",8390,"Normal Value"
"May 2017","Southend-on-Sea","E06000033","Value","total","Total",7150,"Normal Value"
"May 2017","Thurrock","E06000034","Value","total","Total",4750,"Normal Value"
"May 2017","Cambridgeshire","E10000003","Value","total","Total",16330,"Normal Value"
"May 2017","Essex","E10000012","Value","total","Total",40030,"Normal Value"
"May 2017","Hertfordshire","E10000015","Value","total","Total",27050,"Normal Value"
"May 2017","Norfolk","E10000020","Value","total","Total",30860,"Normal Value"
"May 2017","Suffolk","E10000029","Value","total","Total",21220,"Normal Value"
"May 2017","Camden","E09000007","Value","total","Total",9730,"Normal Value"
"May 2017","City of London","E09000001","Value","total","Total",140,"Normal Value"
"May 2017","Hackney","E09000012","Value","total","Total",12560,"Normal Value"
"May 2017","Hammersmith and Fulham","E09000013","Value","total","Total",5930,"Normal Value"
"May 2017","Haringey","E09000014","Value","total","Total",10820,"Normal Value"
"May 2017","Islington","E09000019","Value","total","Total",11550,"Normal Value"
"May 2017","Kensington and Chelsea","E09000020","Value","total","Total",5180,"Normal Value"
"May 2017","Lambeth","E09000022","Value","total","Total",11820,"Normal Value"
"May 2017","Lewisham","E09000023","Value","total","Total",11420,"Normal Value"
