"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","ITEM_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2016","Darlington","E06000005","Median","Value",27514,"Normal Value"
"2016","County Durham","E06000047","Median","Value",25011,"Normal Value"
"2016","Hartlepool","E06000001","Median","Value",25970,"Normal Value"
"2016","Middlesbrough","E06000002","Median","Value",24966,"Normal Value"
"2016","Northumberland","E06000057","Median","Value",26454,"Normal Value"
"2016","Redcar and Cleveland","E06000003","Median","Value",24403,"Normal Value"
"2016","Stockton-on-Tees","E06000004","Median","Value",27752,"Normal Value"
"2016","Gateshead","E08000037","Median","Value",25049,"Normal Value"
"2016","Newcastle upon Tyne","E08000021","Median","Value",26577,"Normal Value"
"2016","North Tyneside","E08000022","Median","Value",26092,"Normal Value"
"2016","South Tyneside","E08000023","Median","Value",23744,"Normal Value"
"2016","Sunderland","E08000024","Median","Value",25171,"Normal Value"
"2016","Blackburn with Darwen","E06000008","Median","Value",22768,"Normal Value"
"2016","Blackpool","E06000009","Median","Value",21429,"Normal Value"
"2016","Cheshire East","E06000049","Median","Value",28754,"Normal Value"
"2016","Cheshire West and Chester","E06000050","Median","Value",28819,"Normal Value"
"2016","Halton","E06000006","Median","Value",25250,"Normal Value"
"2016","Warrington","E06000007","Median","Value",27856,"Normal Value"
"2016","Cumbria","E10000006","Median","Value",26999,"Normal Value"
"2016","Bolton","E08000001","Median","Value",24815,"Normal Value"
"2016","Bury","E08000002","Median","Value",28069,"Normal Value"
"2016","Manchester","E08000003","Median","Value",24185,"Normal Value"
"2016","Oldham","E08000004","Median","Value",24051,"Normal Value"
"2016","Rochdale","E08000005","Median","Value",24421,"Normal Value"
"2016","Salford","E08000006","Median","Value",25288,"Normal Value"
"2016","Stockport","E08000007","Median","Value",28171,"Normal Value"
"2016","Tameside","E08000008","Median","Value",23419,"Normal Value"
"2016","Trafford","E08000009","Median","Value",34069,"Normal Value"
"2016","Wigan","E08000010","Median","Value",27094,"Normal Value"
"2016","Lancashire","E10000017","Median","Value",26035,"Normal Value"
"2016","Knowsley","E08000011","Median","Value",25135,"Normal Value"
"2016","Liverpool","E08000012","Median","Value",25953,"Normal Value"
"2016","Sefton","E08000014","Median","Value",25517,"Normal Value"
"2016","St. Helens","E08000013","Median","Value",26008,"Normal Value"
"2016","Wirral","E08000015","Median","Value",28183,"Normal Value"
"2016","East Riding of Yorkshire","E06000011","Median","Value",26989,"Normal Value"
"2016","Kingston upon Hull, City of","E06000010","Median","Value",23580,"Normal Value"
"2016","North East Lincolnshire","E06000012","Median","Value",26400,"Normal Value"
"2016","North Lincolnshire","E06000013","Median","Value",28091,"Normal Value"
"2016","York","E06000014","Median","Value",26096,"Normal Value"
"2016","North Yorkshire","E10000023","Median","Value",26918,"Normal Value"
"2016","Barnsley","E08000016","Median","Value",24313,"Normal Value"
"2016","Doncaster","E08000017","Median","Value",24616,"Normal Value"
"2016","Rotherham","E08000018","Median","Value",24839,"Normal Value"
"2016","Sheffield","E08000019","Median","Value",26069,"Normal Value"
"2016","Bradford","E08000032","Median","Value",24189,"Normal Value"
"2016","Calderdale","E08000033","Median","Value",27751,"Normal Value"
"2016","Kirklees","E08000034","Median","Value",25599,"Normal Value"
"2016","Leeds","E08000035","Median","Value",27815,"Normal Value"
"2016","Wakefield","E08000036","Median","Value",24287,"Normal Value"
"2016","Derby","E06000015","Median","Value",28376,"Normal Value"
"2016","Leicester","E06000016","Median","Value",21996,"Normal Value"
"2016","Nottingham","E06000018","Median","Value",23360,"Normal Value"
