"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","MEASURES_NAME","DURATION_NAME","SEX_NAME","OBS_VALUE","OBS_STATUS_NAME"
"December 2017","Darlington","E06000005","Proportion of resident population of age group","Total","Total",2.3,"Normal Value"
"December 2017","County Durham","E06000047","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Hartlepool","E06000001","Proportion of resident population of age group","Total","Total",1.4,"Normal Value"
"December 2017","Middlesbrough","E06000002","Proportion of resident population of age group","Total","Total",3.1,"Normal Value"
"December 2017","Northumberland","E06000057","Proportion of resident population of age group","Total","Total",1.7,"Normal Value"
"December 2017","Redcar and Cleveland","E06000003","Proportion of resident population of age group","Total","Total",2.2,"Normal Value"
"December 2017","Stockton-on-Tees","E06000004","Proportion of resident population of age group","Total","Total",2.0,"Normal Value"
"December 2017","Gateshead","E08000037","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Newcastle upon Tyne","E08000021","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","North Tyneside","E08000022","Proportion of resident population of age group","Total","Total",1.7,"Normal Value"
"December 2017","South Tyneside","E08000023","Proportion of resident population of age group","Total","Total",3.1,"Normal Value"
"December 2017","Sunderland","E08000024","Proportion of resident population of age group","Total","Total",1.9,"Normal Value"
"December 2017","Blackburn with Darwen","E06000008","Proportion of resident population of age group","Total","Total",1.6,"Normal Value"
"December 2017","Blackpool","E06000009","Proportion of resident population of age group","Total","Total",1.9,"Normal Value"
"December 2017","Cheshire East","E06000049","Proportion of resident population of age group","Total","Total",0.5,"Normal Value"
"December 2017","Cheshire West and Chester","E06000050","Proportion of resident population of age group","Total","Total",0.5,"Normal Value"
"December 2017","Halton","E06000006","Proportion of resident population of age group","Total","Total",0.3,"Normal Value"
"December 2017","Warrington","E06000007","Proportion of resident population of age group","Total","Total",0.3,"Normal Value"
"December 2017","Cumbria","E10000006","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Bolton","E08000001","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Bury","E08000002","Proportion of resident population of age group","Total","Total",1.2,"Normal Value"
"December 2017","Manchester","E08000003","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","Oldham","E08000004","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Rochdale","E08000005","Proportion of resident population of age group","Total","Total",1.3,"Normal Value"
"December 2017","Salford","E08000006","Proportion of resident population of age group","Total","Total",1.4,"Normal Value"
"December 2017","Stockport","E08000007","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Tameside","E08000008","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","Trafford","E08000009","Proportion of resident population of age group","Total","Total",0.5,"Normal Value"
"December 2017","Wigan","E08000010","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","Lancashire","E10000017","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Knowsley","E08000011","Proportion of resident population of age group","Total","Total",1.3,"Normal Value"
"December 2017","Liverpool","E08000012","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Sefton","E08000014","Proportion of resident population of age group","Total","Total",0.9,"Normal Value"
"December 2017","St. Helens","E08000013","Proportion of resident population of age group","Total","Total",1.0,"Normal Value"
"December 2017","Wirral","E08000015","Proportion of resident population of age group","Total","Total",0.7,"Normal Value"
"December 2017","East Riding of Yorkshire","E06000011","Proportion of resident population of age group","Total","Total",0.9,"Normal Value"
"December 2017","Kingston upon Hull, City of","E06000010","Proportion of resident population of age group","Total","Total",2.6,"Normal Value"
"December 2017","North East Lincolnshire","E06000012","Proportion of resident population of age group","Total","Total",2.0,"Normal Value"
"December 2017","North Lincolnshire","E06000013","Proportion of resident population of age group","Total","Total",1.0,"Normal Value"
"December 2017","York","E06000014","Proportion of resident population of age group","Total","Total",0.2,"Normal Value"
"December 2017","North Yorkshire","E10000023","Proportion of resident population of age group","Total","Total",0.4,"Normal Value"
"December 2017","Barnsley","E08000016","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","Doncaster","E08000017","Proportion of resident population of age group","Total","Total",1.2,"Normal Value"
"December 2017","Rotherham","E08000018","Proportion of resident population of age group","Total","Total",1.7,"Normal Value"
"December 2017","Sheffield","E08000019","Proportion of resident population of age group","Total","Total",1.7,"Normal Value"
"December 2017","Bradford","E08000032","Proportion of resident population of age group","Total","Total",1.8,"Normal Value"
"December 2017","Calderdale","E08000033","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Kirklees","E08000034","Proportion of resident population of age group","Total","Total",1.2,"Normal Value"
"December 2017","Leeds","E08000035","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Wakefield","E08000036","Proportion of resident population of age group","Total","Total",1.2,"Normal Value"
"December 2017","Derby","E06000015","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","Leicester","E06000016","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","Nottingham","E06000018","Proportion of resident population of age group","Total","Total",2.2,"Normal Value"
"December 2017","Rutland","E06000017","Proportion of resident population of age group","Total","Total",0.2,"Normal Value"
"December 2017","Derbyshire","E10000007","Proportion of resident population of age group","Total","Total",0.7,"Normal Value"
"December 2017","Leicestershire","E10000018","Proportion of resident population of age group","Total","Total",0.4,"Normal Value"
"December 2017","Lincolnshire","E10000019","Proportion of resident population of age group","Total","Total",1.0,"Normal Value"
"December 2017","Northamptonshire","E10000021","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Nottinghamshire","E10000024","Proportion of resident population of age group","Total","Total",1.0,"Normal Value"
"December 2017","Herefordshire, County of","E06000019","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Shropshire","E06000051","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Stoke-on-Trent","E06000021","Proportion of resident population of age group","Total","Total",1.6,"Normal Value"
"December 2017","Telford and Wrekin","E06000020","Proportion of resident population of age group","Total","Total",0.9,"Normal Value"
"December 2017","Staffordshire","E10000028","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Warwickshire","E10000031","Proportion of resident population of age group","Total","Total",0.5,"Normal Value"
"December 2017","Birmingham","E08000025","Proportion of resident population of age group","Total","Total",3.0,"Normal Value"
"December 2017","Coventry","E08000026","Proportion of resident population of age group","Total","Total",1.2,"Normal Value"
"December 2017","Dudley","E08000027","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Sandwell","E08000028","Proportion of resident population of age group","Total","Total",2.2,"Normal Value"
"December 2017","Solihull","E08000029","Proportion of resident population of age group","Total","Total",0.7,"Normal Value"
"December 2017","Walsall","E08000030","Proportion of resident population of age group","Total","Total",1.8,"Normal Value"
"December 2017","Wolverhampton","E08000031","Proportion of resident population of age group","Total","Total",2.8,"Normal Value"
"December 2017","Worcestershire","E10000034","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Bedford","E06000055","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Central Bedfordshire","E06000056","Proportion of resident population of age group","Total","Total",0.5,"Normal Value"
"December 2017","Luton","E06000032","Proportion of resident population of age group","Total","Total",1.3,"Normal Value"
"December 2017","Peterborough","E06000031","Proportion of resident population of age group","Total","Total",0.7,"Normal Value"
"December 2017","Southend-on-Sea","E06000033","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Thurrock","E06000034","Proportion of resident population of age group","Total","Total",0.9,"Normal Value"
"December 2017","Cambridgeshire","E10000003","Proportion of resident population of age group","Total","Total",0.5,"Normal Value"
"December 2017","Essex","E10000012","Proportion of resident population of age group","Total","Total",0.8,"Normal Value"
"December 2017","Hertfordshire","E10000015","Proportion of resident population of age group","Total","Total",0.7,"Normal Value"
"December 2017","Norfolk","E10000020","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Suffolk","E10000029","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Camden","E09000007","Proportion of resident population of age group","Total","Total",1.1,"Normal Value"
"December 2017","City of London","E09000001","Proportion of resident population of age group","Total","Total",0.4,"Normal Value"
"December 2017","Hackney","E09000012","Proportion of resident population of age group","Total","Total",1.9,"Normal Value"
"December 2017","Hammersmith and Fulham","E09000013","Proportion of resident population of age group","Total","Total",0.6,"Normal Value"
"December 2017","Haringey","E09000014","Proportion of resident population of age group","Total","Total",1.7,"Normal Value"
"December 2017","Islington","E09000019","Proportion of resident population of age group","Total","Total",1.5,"Normal Value"
"December 2017","Kensington and Chelsea","E09000020","Proportion of resident population of age group","Total","Total",0.7,"Normal Value"
"December 2017","Lambeth","E09000022","Proportion of resident population of age group","Total","Total",1.6,"Normal Value"
